title,media,date,datetime,desc,link,img
Marseille's Azzedine Ounahi subject of significant interest from Middle East,Get French Football News,2 hours ago,2023-12-31 16:20:53.224068,,https://www.getfootballnewsfrance.com/2023/marseilles-azzedine-ounahi-subject-of-significant-interest-from-middle-east/&ved=2ahUKEwipktmapbqDAxWJHzQIHT7tCT0QxfQBegQIAhAC&usg=AOvVaw3oW4-lhORRxQUJIXzo0rJC,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Israeli Minister Ben-Gvir commends soldiers for Nakba actions,Middle East Monitor,2 hours ago,2023-12-31 16:20:53.237268,,https://www.middleeastmonitor.com/20231231-israeli-minister-ben-gvir-commends-soldiers-for-nakba-actions/&ved=2ahUKEwipktmapbqDAxWJHzQIHT7tCT0QxfQBegQIBhAC&usg=AOvVaw3wLy10ZlLbRWYn3_trX2Um,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Global ‘Count Down 2 Ceasefire’ Campaign Mobilises for Gaza on New Year’s Eve,Middle East Monitor,2 hours ago,2023-12-31 16:20:53.250758,,https://www.middleeastmonitor.com/20231231-global-count-down-2-ceasefire-campaign-mobilises-for-gaza-on-new-years-eve/&ved=2ahUKEwipktmapbqDAxWJHzQIHT7tCT0QxfQBegQIABAC&usg=AOvVaw35l5xn1UMrAp1V1y_Tq5CP,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Ghassan Abu Sittah on white phosphorus burns | Real Talk,YouTube,2 hours ago,2023-12-31 16:20:53.263359,,https://www.youtube.com/watch%3Fv%3DC4APmW2avSI&ved=2ahUKEwipktmapbqDAxWJHzQIHT7tCT0QxfQBegQIBxAC&usg=AOvVaw26DYT9R-DhMOZDzZ--x6ZG,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Israeli jets pound central Gaza as Netanyahu indicates longer war,Reuters,2 hours ago,2023-12-31 16:20:53.275990,,https://www.reuters.com/world/middle-east/netanyahu-says-israel-must-control-gazas-border-with-egypt-war-last-months-2023-12-31/&ved=2ahUKEwipktmapbqDAxWJHzQIHT7tCT0QxfQBegQIAxAC&usg=AOvVaw1QNKS8S-wJbSFVtLiwb4QH,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Vigils take place across country in support of Gaza,RTE,1 hour ago,2023-12-31 17:20:51.575360,,https://www.rte.ie/news/dublin/2023/1231/1424257-gaza-protest/&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQICBAC&usg=AOvVaw3UY_hSfdAB3NvMfXKrUkNs,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"GAZA LIVE BLOG - Israel Bombs Two Mosques in Central Gaza | Massacres in Nuseirat, Maghazi | Battles Continue in ...",Palestine Chronicle,2 hours ago,2023-12-31 16:20:51.590217,,https://www.palestinechronicle.com/gaza-live-blog-israel-bombs-two-mosques-in-central-gaza-massacres-in-nuseirat-maghazi-battles-continue-in-khan-younis-ansarallah-hit-more-ships-day-86/&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQICRAC&usg=AOvVaw2DW5FyL0r7b6afDmZl3E4o,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
John Pilger: Veteran journalist and Palestine supporter dies,Middle East Eye,3 hours ago,2023-12-31 15:20:51.603177,,https://www.middleeasteye.net/news/john-pilger-veteran-journalist-palestine-supporter-dies&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIBBAC&usg=AOvVaw2k_Uu2pcDYn6jyMKpx2bEp,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Injured Palestinian boy in Gaza no longer recognises his own face | Al Jazeera NewsFeed,YouTube,3 hours ago,2023-12-31 15:20:51.616537,,https://www.youtube.com/watch%3Fv%3D21dsdfvTtwc&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIAhAC&usg=AOvVaw118ir-jMF3r8HBCzUkzlIb,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Walkout over weapons: British school students battle Gaza protest curbs,Al Jazeera,3 hours ago,2023-12-31 15:20:51.629160,,https://www.aljazeera.com/features/2023/12/31/walkout-weapon-british-school-students-battle-curbs-on-gaza-war-protests&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIBxAC&usg=AOvVaw1nAlXexVP_5cVGrE8MJhVB,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
'This is a struggle of land occupation': Over 300 unite at interfaith vigil in solidarity with Palestine,IOL,4 hours ago,2023-12-31 14:20:51.642972,,https://www.iol.co.za/news/south-africa/western-cape/this-is-a-struggle-of-land-occupation-over-300-unite-at-interfaith-vigil-in-solidarity-with-palestine-d317da20-036f-4bf7-b2ce-31ad686d7ccf&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIBRAC&usg=AOvVaw1MDDQn_AudImXQgrAVEdp9,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Israeli strike kills former Palestinian minister: agency,Arab News,5 hours ago,2023-12-31 13:20:51.656911,,https://www.arabnews.com/node/2434376/middle-east&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIABAC&usg=AOvVaw3ODcVroVWXpMnm2gmb9ByV,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
NYPD braces for pro-Palestinian rally on New Year's Eve,Ynetnews,5 hours ago,2023-12-31 13:20:51.669559,,https://www.ynetnews.com/article/s1aztardt&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIBhAC&usg=AOvVaw0tYhU8SQhUq4n4HOjocKPc,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Pro-Palestine campaigners call for Gaza ceasefire on New Year’s Eve,Al Jazeera,6 hours ago,2023-12-31 12:20:51.682978,,https://www.aljazeera.com/news/2023/12/31/pro-palestine-campaigners-call-for-gaza-ceasefire-on-new-years-eve&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIARAC&usg=AOvVaw3-PaGMkgWSDpEySNunQ2Rg,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Netanyahu says Israel must control Egypt-Gaza border zone,Middle East Eye,6 hours ago,2023-12-31 12:20:51.695628,,https://www.middleeasteye.net/news/gaza-war-israel-palestine-netanyahu-control-egypt-border-zone&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIAxAC&usg=AOvVaw18DPZ-s3D8dw5sfCWkaCCm,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Israel-Hamas war: Gaza conflict looms large for `many months` in 2024,WION,7 mins ago,2023-12-31 18:13:52.372192,,https://www.wionews.com/world/israel-hamas-war-gaza-conflict-looms-large-for-many-months-in-2024-675368&ved=2ahUKEwjYyqeapbqDAxUhIjQIHWfnAV4QxfQBegQICBAC&usg=AOvVaw15L6bvCi-pxXApupTmCU9G,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
IRGC official attributes ongoing Gaza conflict to U.S.,Tehran Times,1 hour ago,2023-12-31 17:20:52.387723,,https://www.tehrantimes.com/news/493160/IRGC-official-attributes-ongoing-Gaza-conflict-to-U-S&ved=2ahUKEwjYyqeapbqDAxUhIjQIHWfnAV4QxfQBegQICRAC&usg=AOvVaw13_zw2zqiQVkBMW13AOZdP,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Kaval brings down reoffending rate among children in conflict with law to 3.8%,The Hindu,3 hours ago,2023-12-31 15:20:52.401757,,https://www.thehindu.com/news/national/kerala/kaval-brings-down-reoffending-rate-among-children-in-conflict-with-law-to-38/article67692988.ece&ved=2ahUKEwjYyqeapbqDAxUhIjQIHWfnAV4QxfQBegQIBRAC&usg=AOvVaw2y8wU4Iz1KdrT1isacgVSn,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Canada’s heated political conflict over carbon pricing to continue into 2024,Global News,4 hours ago,2023-12-31 14:20:52.414687,,https://globalnews.ca/news/10197463/carbon-pricing-political-conflict/&ved=2ahUKEwjYyqeapbqDAxUhIjQIHWfnAV4QxfQBegQIBhAC&usg=AOvVaw2IYOB5AKvwreaTAlvZ4zTO,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
US Muslims expand campaign launched against Biden over Gaza conflict,Middle East Monitor,4 hours ago,2023-12-31 14:20:52.427680,,https://www.middleeastmonitor.com/20231231-us-muslims-expand-campaign-launched-against-biden-over-gaza-conflict/&ved=2ahUKEwjYyqeapbqDAxUhIjQIHWfnAV4QxfQBegQIABAC&usg=AOvVaw2BCwn4LQrO9NwYRy8B6P5g,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Israel continues Gaza offensive as conflict enters 86th day,La Prensa Latina,4 hours ago,2023-12-31 14:20:52.440377,,https://www.laprensalatina.com/israel-continues-gaza-offensive-as-conflict-enters-86th-day/&ved=2ahUKEwjYyqeapbqDAxUhIjQIHWfnAV4QxfQBegQIBBAC&usg=AOvVaw3JfiDjhIG75g3HDXimHACN,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Unseen Footage: Israeli Soldiers Find Respite Amidst Gaza Conflict: A Glimpse into Moments of Rest |,YouTube,4 hours ago,2023-12-31 14:20:52.453844,,https://www.youtube.com/watch%3Fv%3DfPPskd9YhPg&ved=2ahUKEwjYyqeapbqDAxUhIjQIHWfnAV4QxfQBegQIAxAC&usg=AOvVaw2CjnhmPBh1hiScHgfOn2Gl,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Poll shows many protesters severely uninformed about conflict,Ventura County Star,5 hours ago,2023-12-31 13:20:52.466984,,https://www.vcstar.com/story/opinion/2023/12/31/poll-shows-many-protesters-severely-uninformed-about-conflict/72058311007/&ved=2ahUKEwjYyqeapbqDAxUhIjQIHWfnAV4QxfQBegQIBxAC&usg=AOvVaw0GO0TWKTzYkRxoj4-zcmEj,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Year-Ender 2023: Top 10 wars & regional conflicts that dominated the world this year,The Times of India,5 hours ago,2023-12-31 13:20:52.479615,,https://timesofindia.indiatimes.com/videos/toi-original/year-ender-2023-top-10-wars-regional-conflicts-that-dominated-the-world-this-year/videoshow/106421950.cms&ved=2ahUKEwjYyqeapbqDAxUhIjQIHWfnAV4QxfQBegQIARAC&usg=AOvVaw3DwoJ7fPdkTkqVY1aNVpQ3,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
TOP 10 Wars & Conflicts that Dominated 2023 | Year-Ender 2023 | Countdown to 2024 | New Year 2024,YouTube,5 hours ago,2023-12-31 13:20:52.492550,,https://www.youtube.com/watch%3Fv%3DDQGD5fgtPZ4&ved=2ahUKEwjYyqeapbqDAxUhIjQIHWfnAV4QxfQBegQIAhAC&usg=AOvVaw2d1D_vEJ5UwPapuPPfCZDJ,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Young Gazans hope for peace in new year as war with Israel goes on,BBC,6 mins ago,2023-12-31 18:14:53.150988,,https://www.bbc.com/news/world-middle-east-67854246&ved=2ahUKEwipktmapbqDAxWJHzQIHT7tCT0QxfQBegQICBAC&usg=AOvVaw13uzizka4kCNolHBVPvj1Z,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Peace in the Middle East will be ‘restored’ if we hurt the Iranian regime: Rep. Michael Waltz,Fox News,1 hour ago,2023-12-31 17:20:53.165640,,https://www.foxnews.com/video/6344096102112&ved=2ahUKEwipktmapbqDAxWJHzQIHT7tCT0QxfQBegQICRAC&usg=AOvVaw3EcIWHFC6NDLBc34PWey7m,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Global calls for demanding ‘Ceasefire’ as New Year’s countdown hits Zero,Middle East Monitor,1 hour ago,2023-12-31 17:20:53.178277,,https://www.middleeastmonitor.com/20231231-global-calls-for-demanding-ceasefire-as-new-years-countdown-hits-zero/&ved=2ahUKEwipktmapbqDAxWJHzQIHT7tCT0QxfQBegQIBBAC&usg=AOvVaw0a0YTRYpvG4eK-9TM41civ,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
U.S. Navy Destroys Boats Controlled by Iran-Backed Militias in Red Sea,The Wall Street Journal,1 hour ago,2023-12-31 17:20:53.193226,,https://www.wsj.com/world/middle-east/u-s-navy-destroys-boats-controlled-by-iran-backed-militias-in-red-sea-2e58dfcd&ved=2ahUKEwipktmapbqDAxWJHzQIHT7tCT0QxfQBegQIARAC&usg=AOvVaw2NAXcAFmWLsbtJz8RlOa-j,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
US will ‘get unlucky’ at some point in the Middle East: KT McFarland,YouTube,2 hours ago,2023-12-31 16:20:53.210310,,https://www.youtube.com/watch%3Fv%3D8sOku3yv9to&ved=2ahUKEwipktmapbqDAxWJHzQIHT7tCT0QxfQBegQIBRAC&usg=AOvVaw0dbKiDnLDoiQ313wwjLrUl,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Marseille's Azzedine Ounahi subject of significant interest from Middle East,Get French Football News,2 hours ago,2023-12-31 16:20:53.224068,,https://www.getfootballnewsfrance.com/2023/marseilles-azzedine-ounahi-subject-of-significant-interest-from-middle-east/&ved=2ahUKEwipktmapbqDAxWJHzQIHT7tCT0QxfQBegQIAhAC&usg=AOvVaw3oW4-lhORRxQUJIXzo0rJC,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Israeli Minister Ben-Gvir commends soldiers for Nakba actions,Middle East Monitor,2 hours ago,2023-12-31 16:20:53.237268,,https://www.middleeastmonitor.com/20231231-israeli-minister-ben-gvir-commends-soldiers-for-nakba-actions/&ved=2ahUKEwipktmapbqDAxWJHzQIHT7tCT0QxfQBegQIBhAC&usg=AOvVaw3wLy10ZlLbRWYn3_trX2Um,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Global ‘Count Down 2 Ceasefire’ Campaign Mobilises for Gaza on New Year’s Eve,Middle East Monitor,2 hours ago,2023-12-31 16:20:53.250758,,https://www.middleeastmonitor.com/20231231-global-count-down-2-ceasefire-campaign-mobilises-for-gaza-on-new-years-eve/&ved=2ahUKEwipktmapbqDAxWJHzQIHT7tCT0QxfQBegQIABAC&usg=AOvVaw35l5xn1UMrAp1V1y_Tq5CP,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Ghassan Abu Sittah on white phosphorus burns | Real Talk,YouTube,2 hours ago,2023-12-31 16:20:53.263359,,https://www.youtube.com/watch%3Fv%3DC4APmW2avSI&ved=2ahUKEwipktmapbqDAxWJHzQIHT7tCT0QxfQBegQIBxAC&usg=AOvVaw26DYT9R-DhMOZDzZ--x6ZG,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Israeli jets pound central Gaza as Netanyahu indicates longer war,Reuters,2 hours ago,2023-12-31 16:20:53.275990,,https://www.reuters.com/world/middle-east/netanyahu-says-israel-must-control-gazas-border-with-egypt-war-last-months-2023-12-31/&ved=2ahUKEwipktmapbqDAxWJHzQIHT7tCT0QxfQBegQIAxAC&usg=AOvVaw1QNKS8S-wJbSFVtLiwb4QH,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"As death toll mounts in Gaza, veterans of past negotiations weigh in on possibilities for peace",NBC News,3 hours ago,2023-12-31 15:20:53.989669,,https://www.nbcnews.com/news/world/israel-hamas-war-gaza-death-toll-peace-negotiations-veterans-rcna131271&ved=2ahUKEwj0joibpbqDAxWhIDQIHf2UDbQQxfQBegQIAxAC&usg=AOvVaw1t0SZ7f84qL5rouOev88_D,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
ULFA Peace Pact: Yet Another Agreement In Northeast India Or 'Historic' Moment Towards Peace?,Outlook India,4 hours ago,2023-12-31 14:20:54.006769,,https://www.outlookindia.com/national/ulfa-peace-pact-yet-another-agreement-in-northeast-india-or-historic-moment-towards-peace-news-340030&ved=2ahUKEwj0joibpbqDAxWhIDQIHf2UDbQQxfQBegQICRAC&usg=AOvVaw1p5jiR65Ei6YUlD54fe7NH,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Responsibility of paramilitary groups to 'leave' – peace fund chief,Evening Standard,5 hours ago,2023-12-31 13:20:54.021282,,https://www.standard.co.uk/news/uk/joe-biden-belfast-ulster-northern-ireland-dundalk-b1129679.html&ved=2ahUKEwj0joibpbqDAxWhIDQIHf2UDbQQxfQBegQICBAC&usg=AOvVaw1J3impAPYRO_WbS6YzQv8f,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Assam MLA appeals to ULFA-I chief Paresh Baruah to join peace talks,India Today NE,6 hours ago,2023-12-31 12:20:54.035984,,https://www.indiatodayne.in/assam/story/assam-mla-appeals-to-ulfa-i-chief-paresh-baruah-to-join-peace-talks-737390-2023-12-31&ved=2ahUKEwj0joibpbqDAxWhIDQIHf2UDbQQxfQBegQIBBAC&usg=AOvVaw1IvvZC9KfKEjK1cFNzcth0,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Tanaiste to raise issue of global drugs trade during visit to Colombia,The Irish News,7 hours ago,2023-12-31 11:20:54.050147,,https://www.irishnews.com/news/ireland/tanaiste-to-raise-issue-of-global-drugs-trade-during-visit-to-colombia-DQMROLGJCZPVDFNFBBZ4OMFQNI/&ved=2ahUKEwj0joibpbqDAxWhIDQIHf2UDbQQxfQBegQIBRAC&usg=AOvVaw2ekuMCj8MPGxgr9UDjDu1k,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Ulfa (I) ready for talks if sovereignty is discussed: Paresh Baruah | Guwahati News,Lanka Times,8 hours ago,2023-12-31 10:20:54.070697,,https://www.lankatimes.com/ulfa-i-ready-for-talks-if-sovereignty-is-discussed-paresh-baruah-guwahati-news/&ved=2ahUKEwj0joibpbqDAxWhIDQIHf2UDbQQxfQBegQIBxAC&usg=AOvVaw1zGpniKsvGwBuO0FPv8tWy,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Can Ulfa pact fulfill promises made to Assam 38 years ago?,MSN,3 hours ago,2023-12-31 15:20:54.072967,,https://www.msn.com/en-in/news/India/can-ulfa-pact-fulfill-promises-made-to-assam-38-years-ago/ar-AA1mgexA&ved=2ahUKEwj0joibpbqDAxWhIDQIHf2UDbQQxfQBegQIARAC&usg=AOvVaw08ZZImoRviWvqEM0A56vi9,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Ready for peace talks if Centre discusses sovereignty: Paresh,The Times of India,5 hours ago,2023-12-31 13:20:54.074814,,https://timesofindia.indiatimes.com/city/guwahati/ready-for-peace-talks-if-centre-discusses-sovereignty-paresh/articleshow/106413423.cms&ved=2ahUKEwj0joibpbqDAxWhIDQIHf2UDbQQxfQBegQIBhAC&usg=AOvVaw1QF_6UcQyKGpZMbcOkBEEm,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
ULFA-Centre Peace Accord Rings Investment Bells In Singapore,MSN,1 day ago,2023-12-30 18:20:54.088283,,https://www.msn.com/en-in/news/India/ulfa-centre-peace-accord-rings-investment-bells-in-singapore/ar-AA1mf7KQ&ved=2ahUKEwj0joibpbqDAxWhIDQIHf2UDbQQxfQBegQIABAC&usg=AOvVaw3Q5htZfRMH6j8DOPr8AzVW,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Azerbaijan sees no “serious obstacles” for peace treaty with Armenia, says Hajiyev",Armenpress,1 day ago,2023-12-30 18:20:54.103903,,https://www.armenpress.am/eng/news/1127226/&ved=2ahUKEwj0joibpbqDAxWhIDQIHf2UDbQQxfQBegQIAhAC&usg=AOvVaw0FCa9F_Sr3bKFXmT61jvHa,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Vigils take place across country in support of Gaza,RTE,1 hour ago,2023-12-31 17:20:51.575360,,https://www.rte.ie/news/dublin/2023/1231/1424257-gaza-protest/&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQICBAC&usg=AOvVaw3UY_hSfdAB3NvMfXKrUkNs,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"GAZA LIVE BLOG - Israel Bombs Two Mosques in Central Gaza | Massacres in Nuseirat, Maghazi | Battles Continue in ...",Palestine Chronicle,2 hours ago,2023-12-31 16:20:51.590217,,https://www.palestinechronicle.com/gaza-live-blog-israel-bombs-two-mosques-in-central-gaza-massacres-in-nuseirat-maghazi-battles-continue-in-khan-younis-ansarallah-hit-more-ships-day-86/&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQICRAC&usg=AOvVaw2DW5FyL0r7b6afDmZl3E4o,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
John Pilger: Veteran journalist and Palestine supporter dies,Middle East Eye,3 hours ago,2023-12-31 15:20:51.603177,,https://www.middleeasteye.net/news/john-pilger-veteran-journalist-palestine-supporter-dies&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIBBAC&usg=AOvVaw2k_Uu2pcDYn6jyMKpx2bEp,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Injured Palestinian boy in Gaza no longer recognises his own face | Al Jazeera NewsFeed,YouTube,3 hours ago,2023-12-31 15:20:51.616537,,https://www.youtube.com/watch%3Fv%3D21dsdfvTtwc&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIAhAC&usg=AOvVaw118ir-jMF3r8HBCzUkzlIb,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Walkout over weapons: British school students battle Gaza protest curbs,Al Jazeera,3 hours ago,2023-12-31 15:20:51.629160,,https://www.aljazeera.com/features/2023/12/31/walkout-weapon-british-school-students-battle-curbs-on-gaza-war-protests&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIBxAC&usg=AOvVaw1nAlXexVP_5cVGrE8MJhVB,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
'This is a struggle of land occupation': Over 300 unite at interfaith vigil in solidarity with Palestine,IOL,4 hours ago,2023-12-31 14:20:51.642972,,https://www.iol.co.za/news/south-africa/western-cape/this-is-a-struggle-of-land-occupation-over-300-unite-at-interfaith-vigil-in-solidarity-with-palestine-d317da20-036f-4bf7-b2ce-31ad686d7ccf&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIBRAC&usg=AOvVaw1MDDQn_AudImXQgrAVEdp9,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Israeli strike kills former Palestinian minister: agency,Arab News,5 hours ago,2023-12-31 13:20:51.656911,,https://www.arabnews.com/node/2434376/middle-east&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIABAC&usg=AOvVaw3ODcVroVWXpMnm2gmb9ByV,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
NYPD braces for pro-Palestinian rally on New Year's Eve,Ynetnews,5 hours ago,2023-12-31 13:20:51.669559,,https://www.ynetnews.com/article/s1aztardt&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIBhAC&usg=AOvVaw0tYhU8SQhUq4n4HOjocKPc,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Pro-Palestine campaigners call for Gaza ceasefire on New Year’s Eve,Al Jazeera,6 hours ago,2023-12-31 12:20:51.682978,,https://www.aljazeera.com/news/2023/12/31/pro-palestine-campaigners-call-for-gaza-ceasefire-on-new-years-eve&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIARAC&usg=AOvVaw3-PaGMkgWSDpEySNunQ2Rg,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Netanyahu says Israel must control Egypt-Gaza border zone,Middle East Eye,6 hours ago,2023-12-31 12:20:51.695628,,https://www.middleeasteye.net/news/gaza-war-israel-palestine-netanyahu-control-egypt-border-zone&ved=2ahUKEwjV0u-ZpbqDAxVQDzQIHaORD2QQxfQBegQIAxAC&usg=AOvVaw18DPZ-s3D8dw5sfCWkaCCm,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
